
=== freq of words of size 1 ===

moi; 0.104381
van; 0.104381
ene; 0.104173
nsi; 0.102857
tin; 0.102788
nee; 0.102234
oul; 0.102026
uch; 0.101264
gar; 0.101195
use; 0.100641
gen; 0.099948
tie; 0.099948
ign; 0.099879
let; 0.099394
lev; 0.098563
nda; 0.098424
lqu; 0.098355
elq; 0.097455
die; 0.097108
utr; 0.097039
emi; 0.096831
rec; 0.096693
gne; 0.096208
dev; 0.096000
bie; 0.095862
ius; 0.095377
oup; 0.095307
her; 0.095238
rti; 0.095100
ees; 0.094823
riu; 0.094476
ler; 0.094407
pet; 0.094130
rme; 0.093922
rev; 0.093714
ndr; 0.092745
til; 0.092537
pui; 0.089974
cor; 0.089836
bon; 0.089697
ndi; 0.089351
nse; 0.089212
rdi; 0.088935
net; 0.088727
att; 0.088589
ime; 0.088520
for; 0.088450
mer; 0.088450
ile; 0.088312
heu; 0.088243
rue; 0.087896
ade; 0.087827
cee; 0.087827
eco; 0.087481
ils; 0.087411
nco; 0.086649
nta; 0.086095
der; 0.085818
ein; 0.085680
ale; 0.085403
cie; 0.085264
ple; 0.085126
reu; 0.085056
fra; 0.084918
vre; 0.084710
sta; 0.084641
ega; 0.084294
emb; 0.084087
ron; 0.083948
omp; 0.083602
lei; 0.083463
uss; 0.083048
cho; 0.082771
sti; 0.082424
enf; 0.082217
min; 0.081524
cri; 0.081316
ame; 0.081108
gue; 0.081108
see; 0.081108
ras; 0.080970
fau; 0.080901
ner; 0.080831
poi; 0.080762
ore; 0.080693
reg; 0.080554
nna; 0.080416
fer; 0.080000
bla; 0.079723
fan; 0.079723
sor; 0.079446
mie; 0.079238
esp; 0.077922
lje; 0.077507
alj; 0.077160
avo; 0.077091
onc; 0.077091
epo; 0.076052
pla; 0.075844
fon; 0.075775
pos; 0.075290
tti; 0.075290
ach; 0.075221
nie; 0.075221
ouc; 0.075152
mbr; 0.075082
non; 0.075013
uue; 0.074944
eus; 0.074043
pie; 0.073766
cos; 0.073559
ppe; 0.073420
och; 0.073074
isi; 0.072866
lin; 0.072658
uan; 0.072658
iso; 0.071896
uva; 0.071827
dai; 0.071411
rav; 0.071411
rde; 0.071411
cre; 0.071204
